date,open,high,low,close,volume,MA20,MA60,MA200,RSI,MACD,SIGNAL,HIST,BB_UPPER,BB_LOWER,VOL_MA20
2021-06-19 00:00:00+00:00,2234.09,2278.82,2161.67,2164.67,496872.24997,,,,,0.0,0.0,0.0,,,
2021-06-20 00:00:00+00:00,2165.34,2280.01,2040.68,2243.47,743883.64741,,,,100.0,6.286039886039816,1.2572079772079634,5.028831908831853,,,
2021-06-21 00:00:00+00:00,2243.49,2260.16,1865.54,1885.49,1629819.66576,,,,74.10408136691787,-17.4174449882712,-2.4777226158878696,-14.93972237238333,,,
2021-06-22 00:00:00+00:00,1885.27,1998.0,1700.48,1879.28,1695338.08052,,,,73.74730588529766,-36.28544658508736,-9.239267409727766,-27.04617917535959,,,
2021-06-23 00:00:00+00:00,1879.29,2045.0,1821.95,1968.14,918612.30494,,,,75.56050109252124,-43.56601254743509,-16.104616437269232,-27.46139611016586,,,
2021-06-24 00:00:00+00:00,1967.95,2036.61,1884.79,1989.52,701231.67478,,,,75.99018158284267,-47.068153827936385,-22.297323915402664,-24.77082991253372,,,
2021-06-25 00:00:00+00:00,1989.53,2019.99,1791.22,1808.82,858808.54767,,,,65.50735217549794,-63.69042230892205,-30.575943594106544,-33.114478714815505,,,
2021-06-26 00:00:00+00:00,1808.97,1852.8,1717.32,1829.64,832315.14904,,,,66.08782768626165,-74.32689565090323,-39.32613400546588,-35.00076164543734,,,
2021-06-27 00:00:00+00:00,1829.84,1984.5,1804.26,1982.28,696055.79307,,,,70.06527921097823,-69.63687452965314,-45.38828211030334,-24.248592419349805,,,
2021-06-28 00:00:00+00:00,1982.27,2145.0,1960.52,2084.41,1044244.68308,,,,72.39798382825498,-57.02165143431898,-47.71495597510647,-9.306695459212513,,,
2021-06-29 00:00:00+00:00,2084.42,2245.0,2073.57,2165.33,831257.23277,,,,74.11888059743502,-40.032953551258515,-46.178555490336876,6.145601939078361,,,
2021-06-30 00:00:00+00:00,2165.46,2287.78,2087.99,2275.68,910583.6032,,,,76.28983057802711,-17.4636551693593,-40.43557542614136,22.971920256782063,,,
2021-07-01 00:00:00+00:00,2275.68,2275.93,2073.12,2106.41,787865.25137,,,,67.00514403858656,-13.085160366796117,-34.96549241427232,21.8803320474762,,,
2021-07-02 00:00:00+00:00,2106.41,2160.0,2018.5,2154.13,672282.37476,,,,68.18083844377136,-5.698873437530892,-29.112168618924034,23.413295181393142,,,
2021-07-03 00:00:00+00:00,2153.95,2240.0,2112.01,2226.99,569264.801,,,,69.9419330135671,5.965241660184347,-22.09668656310236,28.061928223286706,,,
